"","Bekerja di perusahaan","Bekerja sendiri","Melanjutkan S2"
"2.77139533333334",1,0,0
"2.906109",1,0,0
"2.94318466666667",1,0,0
"2.98232966666667",1,0,0
"2.98531933333333",1,0,0
"3.00968366666666",1,0,0
"3.01002866666667",0,1,0
"3.02321433333333",1,0,0
"3.04708266666667",0,1,0
"3.07920266666666",0,1,0
"3.08123333333333",0,0,1
"3.08386",1,0,0
"3.10716366666667",1,0,0
"3.11843066666667",1,0,0
"3.131939",1,0,0
"3.15511066666667",1,0,0
"3.16170366666667",1,0,0
"3.17321633333333",0,0,1
"3.18601133333333",1,0,0
"3.19187333333333",1,0,0
"3.20081766666666",0,0,1
"3.20189933333334",1,0,0
"3.23425533333333",1,0,0
"3.24168433333333",1,0,0
"3.25043333333334",1,0,0
"3.25812866666667",1,0,0
"3.264987",1,0,0
"3.26514466666667",0,0,1
"3.28019833333333",0,0,1
"3.29767833333333",0,0,1
"3.305859",1,0,0
"3.310306",1,0,0
"3.33949233333332",1,0,0
"3.34044033333334",1,0,0
"3.35317033333334",1,0,0
"3.35611899999999",0,0,1
"3.35863766666667",1,0,0
"3.358716",1,0,0
"3.37775133333333",1,0,0
